Barri,Metres_Quadrats,Num_Habitacions,Num_Lavabos,Preu,Tipus_Immoble
Vila de Gràcia,80,2,1,1.000 €,Piso
Raval,45,,1,650 €,Apartamento
Sant Gervasi - Galvany,350,5,5,4.900 €,Apartamento
Sant Gervasi - Bonanova,65,2,2,1.060 €,Piso
St. Pere - Sta. Caterina - El Born,38,,1,650 €,Piso
Raval,108,,1,1.050 €,Piso
Gòtic,104,4,2,4.100 €,Ático
Dreta de l´Eixample,85,3,2,1.140 €,Piso
Sant Gervasi - Galvany,54,,1,1.542 €,Piso
Sant Gervasi - Galvany,73,2,2,1.650 €,Piso
Baix Guinardó,84,3,1,975 €,Piso
Sant Gervasi - Galvany,336,5,6,8.500 €,Ático
Sant Ramon - Maternitat,120,4,2,1.800 €,Piso
Sant Gervasi - Galvany,259,5,3,3.600 €,Piso
Gòtic,120,3,2,1.800 €,Piso
Raval,65,2,1,1.050 €,Piso
Glòries El Parc,80,3,1,1.021 €,Piso
Vila de Gràcia,100,4,1,1.000 €,Piso
Fort Pienc,115,4,2,1.175 €,Piso
Dreta de l´Eixample,148,2,2,1.895 €,Piso
St. Pere - Sta. Caterina - El Born,60,,1,1.090 €,Dúplex
Vila de Gràcia,88,2,2,1.375 €,Piso
Guinardó,70,2,1,890 €,Piso
Putget - Farró,134,4,1,1.200 €,Piso
Sarrià,91,,2,1.250 €,Piso
Gòtic,74,3,2,1.485 €,Piso
Poble Sec,62,,1,850 €,Piso
Sant Ramon - Maternitat,120,4,2,1.600 €,Piso
Esquerra Alta de l´Eixample,92,3,2,1.225 €,Piso
Sant Gervasi - Galvany,92,4,2,1.078 €,Piso
Sant Gervasi - Bonanova,150,4,2,1.900 €,Piso
El Clot,100,3,2,1.500 €,Casa
Esquerra Baixa de l´Eixample,100,3,2,1.900 €,Piso
Sant Ramon - Maternitat,73,3,1,950 €,Piso
Vila de Gràcia,93,3,2,1.150 €,Piso
Baix Guinardó,112,4,2,1.500 €,Piso
Vallcarca - Penitents,90,,1,975 €,Ático
Camp d´en Grassot - Gràcia N.,68,3,1,1.400 €,Piso
Dreta de l´Eixample,221,5,4,2.900 €,Piso
Sants,150,2,1,1.500 €,Dúplex
Esquerra Alta de l´Eixample,67,2,1,870 €,Piso
Esquerra Baixa de l´Eixample,77,3,1,1.100 €,Piso
Gòtic,45,,1,1.500 €,Ático
Sant Gervasi - Bonanova,128,4,2,1.500 €,Piso
Dreta de l´Eixample,180,3,2,3.400 €,Piso
Esquerra Baixa de l´Eixample,67,2,1,1.000 €,Piso
Sants,75,3,2,1.295 €,Piso
Camp de l´Arpa,79,2,1,1.000 €,Piso
St. Pere - Sta. Caterina - El Born,70,2,1,1.050 €,Piso
Raval,130,4,2,1.700 €,Piso
Besòs - Maresme,117,3,2,2.000 €,Piso
Carmel,60,2,1,640 €,Piso
Barceloneta,35,,1,790 €,Piso
Vila de Gràcia,70,3,1,950 €,Piso
Gòtic,71,2,2,1.250 €,Piso
Sagrada Família,80,2,1,1.100 €,Ático
Guinardó,262,4,4,2.700 €,Casa
St. Pere - Sta. Caterina - El Born,181,3,4,3.100 €,Piso
Poblenou,55,2,1,1.025 €,Piso
Poblenou,135,2,2,1.500 €,Dúplex
Camp d´en Grassot - Gràcia N.,116,3,3,2.333 €,Piso
Provençals del Poblenou,55,,1,1.000 €,Loft
Vila de Gràcia,53,2,1,850 €,Piso
Esquerra Alta de l´Eixample,125,3,2,1.400 €,Piso
Baix Guinardó,80,3,1,900 €,Piso
Navas,70,3,1,950 €,Piso
Diagonal Mar - La Mar Bella,45,,2,1.100 €,Apartamento
Sagrada Família,108,3,2,1.350 €,Piso
Poble Sec,53,2,1,700 €,Piso
Dreta de l´Eixample,50,,1,825 €,Piso
Dreta de l´Eixample,96,3,2,1.400 €,Piso
Esquerra Baixa de l´Eixample,60,,1,800 €,Piso
Sant Gervasi - Bonanova,900,4,6,9.950 €,Casa
Esquerra Baixa de l´Eixample,50,,1,800 €,Piso
St. Pere - Sta. Caterina - El Born,53,,1,1.000 €,Ático
Pedralbes,100,4,2,1.400 €,Piso
St. Pere - Sta. Caterina - El Born,76,2,1,950 €,Piso
Guinardó,85,3,2,875 €,Piso
Poblenou,59,2,1,930 €,Piso
Badal,155,3,2,1.400 €,Dúplex
Sant Gervasi - Galvany,55,2,1,990 €,Apartamento
Gòtic,57,2,1,810 €,Piso
Sant Gervasi - Galvany,62,,1,1.025 €,Piso
Gòtic,50,,1,750 €,Piso
Poblenou,66,2,1,1.050 €,Piso
Les Corts,44,2,1,800 €,Piso
Putget - Farró,112,3,4,1.200 €,Piso
Raval,80,2,1,795 €,Piso
Verdun,40,,1,578 €,Apartamento
Les Corts,75,2,1,975 €,Piso
Dreta de l´Eixample,70,2,1,1.800 €,Piso
Sarrià,572,6,6,10.000 €,Casa
Camp de l´Arpa,72,3,1,900 €,Apartamento
Vila de Gràcia,40,,1,800 €,Piso
Putget - Farró,108,3,2,1.000 €,Piso
Dreta de l´Eixample,60,2,1,900 €,Piso
Esquerra Alta de l´Eixample,242,4,3,2.450 €,Piso
Guinardó,262,4,4,2.700 €,Torre
Hostafrancs,70,3,2,990 €,Planta
El Clot,56,,1,995 €,Piso
Esquerra Alta de l´Eixample,144,5,2,1.400 €,Piso
Camp d´en Grassot - Gràcia N.,65,3,1,890 €,Piso
Gòtic,88,3,2,1.200 €,Piso
Sant Gervasi - Galvany,415,5,5,8.000 €,Ático
Sarrià,190,5,3,2.100 €,Piso
Camp de l´Arpa,65,2,1,775 €,Piso
Sagrada Família,86,4,2,975 €,Piso
Esquerra Baixa de l´Eixample,132,3,2,1.490 €,Piso
St. Pere - Sta. Caterina - El Born,181,3,4,3.000 €,Piso
Vila de Gràcia,60,2,1,950 €,Piso
Sant Antoni,75,3,1,1.000 €,Piso
Barceloneta,25,,1,750 €,Loft
La Salut,98,3,2,1.200 €,Piso
Sant Ramon - Maternitat,94,3,2,1.350 €,Piso
Sant Gervasi - Bonanova,65,2,1,875 €,Apartamento
Sarrià,75,2,2,1.550 €,Piso
Esquerra Alta de l´Eixample,170,4,3,2.147 €,Piso
Poble Sec,50,,1,680 €,Piso
Sants,60,2,1,925 €,Piso
Esquerra Baixa de l´Eixample,80,4,2,1.100 €,Piso
Badal,55,2,1,1.200 €,Apartamento
Fort Pienc,103,3,2,990 €,Piso
Gòtic,55,2,1,825 €,Piso
Vallvidrera - Tibidabo - Les Planes,300,4,5,2.800 €,Casa
Esquerra Baixa de l´Eixample,80,3,1,1.250 €,Piso
Les Corts,76,2,2,1.350 €,Piso
Esquerra Baixa de l´Eixample,64,2,1,974 €,Piso
Sant Gervasi - Galvany,70,2,2,1.100 €,Piso
Sant Gervasi - Galvany,280,5,4,5.500 €,Ático
Navas,50,,1,800 €,Piso
