"","Barri","Metres_Quadrats","Num_Habitacions","Num_Lavabos","Preu","Tipus_Immoble","Districte"
"411","Sant Gervasi - Galvany",102,3,2,1400,"Piso","Sarrià-Sant Gervasi"
"412","Dreta de l´Eixample",220,3,2,2200,"Piso","Eixample"
"414","Esquerra Alta de l´Eixample",120,4,2,1400,"Piso","Eixample"
"415","Les Corts",99,4,1,1140,"Piso","Les Corts"
"416","Sant Gervasi - Bonanova",80,2,1,900,"Piso","Sarrià-Sant Gervasi"
"417","Gòtic",120,3,1,1300,"Piso","Ciutat Vella"
"418","Esquerra Alta de l´Eixample",117,4,2,1400,"Apartamento","Eixample"
"419","Poblenou",110,4,2,1300,"Piso","Sant Martí"
"420","Poblenou",70,3,1,857,"Piso","Sant Martí"
"421","St. Pere - Sta. Caterina - El Born",60,2,1,795,"Piso","Ciutat Vella"
"422","Sagrada Família",77,3,1,1150,"Piso","Eixample"
"423","Esquerra Baixa de l´Eixample",77,4,1,1075,"Piso","Eixample"
"424","Putget - Farró",78,2,1,1100,"Piso","Sarrià-Sant Gervasi"
"425","Putget - Farró",110,3,1,950,"Ático","Sarrià-Sant Gervasi"
"426","Esquerra Alta de l´Eixample",81,3,2,1300,"Piso","Eixample"
"427","Vila de Gràcia",105,3,2,1100,"Piso","Gràcia"
"428","Sagrada Família",60,3,2,1000,"Piso","Eixample"
"429","Les Corts",122,4,3,2280,"Piso","Les Corts"
"430","Dreta de l´Eixample",66,2,1,1300,"Piso","Eixample"
"431","Besòs - Maresme",71,3,1,800,"Piso","Sant Martí"
"432","Esquerra Alta de l´Eixample",80,2,2,1050,"Piso","Eixample"
"434","Sagrada Família",70,3,1,900,"Piso","Eixample"
"435","Esquerra Alta de l´Eixample",110,3,2,1350,"Piso","Eixample"
"436","Sant Gervasi - Galvany",149,3,2,3600,"Piso","Sarrià-Sant Gervasi"
"437","Camp de l´Arpa",65,2,1,1050,"Apartamento","Sant Martí"
"438","Taxonera",83,3,2,1300,"Piso","Horta-Guinardó"
"440","Barceloneta",50,2,1,850,"Piso","Ciutat Vella"
"441","Gòtic",103,2,1,1600,"Piso","Ciutat Vella"
"442","Camp de l´Arpa",100,4,2,1250,"Piso","Sant Martí"
"445","Putget - Farró",80,3,1,910,"Piso","Sarrià-Sant Gervasi"
"446","Sagrada Família",105,3,2,1300,"Piso","Eixample"
"447","Barceloneta",40,2,1,800,"Ático","Ciutat Vella"
"448","Sant Gervasi - Galvany",102,3,2,1400,"Piso","Sarrià-Sant Gervasi"
"449","Fort Pienc",90,3,2,1100,"Piso","Eixample"
"450","Esquerra Baixa de l´Eixample",90,3,1,1000,"Piso","Eixample"
"451","Esquerra Baixa de l´Eixample",150,4,2,2100,"Piso","Eixample"
"452","Fort Pienc",85,3,2,1150,"Piso","Eixample"
"453","Tres Torres",147,4,3,3100,"Piso","Sarrià-Sant Gervasi"
"454","Diagonal Mar - La Mar Bella",80,3,2,1450,"Piso","Sant Martí"
"455","Putget - Farró",130,4,3,1700,"Piso","Sarrià-Sant Gervasi"
"459","Sagrada Família",75,3,1,950,"Piso","Eixample"
"460","Dreta de l´Eixample",152,4,2,2500,"Piso","Eixample"
"461","St. Pere - Sta. Caterina - El Born",115,2,2,2900,"Piso","Ciutat Vella"
"462","St. Pere - Sta. Caterina - El Born",153,3,2,1900,"Piso","Ciutat Vella"
"463","Esquerra Alta de l´Eixample",64,2,1,995,"Piso","Eixample"
"464","Dreta de l´Eixample",180,2,2,3500,"Piso","Eixample"
"465","Tres Torres",143,4,3,2000,"Piso","Sarrià-Sant Gervasi"
"466","Tres Torres",143,4,3,2000,"Piso","Sarrià-Sant Gervasi"
"467","Sant Gervasi - Galvany",139,3,1,1600,"Piso","Sarrià-Sant Gervasi"
"468","Dreta de l´Eixample",140,4,3,2100,"Piso","Eixample"
"470","Sagrada Família",90,4,1,950,"Piso","Eixample"
"471","El Coll",67,2,1,700,"Piso","Gràcia"
"472","Vila de Gràcia",72,3,1,990,"Piso","Gràcia"
"473","Sant Gervasi - Galvany",220,5,3,3200,"Piso","Sarrià-Sant Gervasi"
"474","Tres Torres",201,4,2,3750,"Piso","Sarrià-Sant Gervasi"
"475","Camp d´en Grassot - Gràcia N.",65,3,1,1100,"Piso","Gràcia"
"476","Camp d´en Grassot - Gràcia N.",95,4,1,1125,"Piso","Gràcia"
"478","Poble Sec",70,3,1,1200,"Planta","Sants-Montjuïc"
"479","St. Pere - Sta. Caterina - El Born",153,3,2,1900,"Piso","Ciutat Vella"
"480","St. Pere - Sta. Caterina - El Born",55,2,1,800,"Piso","Ciutat Vella"
"481","Sants",50,2,1,700,"Ático","Sants-Montjuïc"
"482","Pedralbes",172,4,3,2500,"Piso","Les Corts"
"484","Esquerra Alta de l´Eixample",90,3,2,1300,"Piso","Eixample"
"485","St. Pere - Sta. Caterina - El Born",153,3,2,1900,"Apartamento","Ciutat Vella"
"486","St. Pere - Sta. Caterina - El Born",95,2,1,1080,"Piso","Ciutat Vella"
"488","Poblenou",115,3,2,1440,"Piso","Sant Martí"
"489","Poblenou",75,2,1,1300,"Piso","Sant Martí"
"490","Sants",42,2,1,700,"Piso","Sants-Montjuïc"
"491","Gòtic",60,2,1,1100,"Piso","Ciutat Vella"
"492","Poble Sec",70,3,1,900,"Piso","Sants-Montjuïc"
"493","La Salut",70,2,1,900,"Piso","Gràcia"
"495","Dreta de l´Eixample",140,3,2,1716,"Piso","Eixample"
"496","Sant Gervasi - Bonanova",100,3,2,1300,"Piso","Sarrià-Sant Gervasi"
"497","Sant Gervasi - Galvany",117,2,2,1800,"Piso","Sarrià-Sant Gervasi"
"498","Sant Gervasi - Galvany",193,4,3,3500,"Piso","Sarrià-Sant Gervasi"
"500","Diagonal Mar - La Mar Bella",153,2,2,2500,"Piso","Sant Martí"
"501","Poble Sec",44,2,1,900,"Piso","Sants-Montjuïc"
"502","Raval",74,2,1,1350,"Piso","Ciutat Vella"
"503","Les Corts",100,3,2,1100,"Piso","Les Corts"
"504","Camp d´en Grassot - Gràcia N.",101,2,2,1490,"Ático","Gràcia"
"505","St. Pere - Sta. Caterina - El Born",153,3,2,1900,"Piso","Ciutat Vella"
"507","Sant Antoni",102,3,1,1100,"Piso","Eixample"
"508","Gòtic",90,2,1,830,"Piso","Ciutat Vella"
"509","Sagrada Família",125,3,2,1406,"Piso","Eixample"
"510","Pedralbes",180,3,2,2200,"Ático","Les Corts"
"511","Sagrada Família",115,3,2,1350,"Piso","Eixample"
"512","Les Corts",120,2,1,1200,"Piso","Les Corts"
"513","Sant Gervasi - Galvany",184,4,4,4900,"Piso","Sarrià-Sant Gervasi"
"516","La Bordeta",100,3,1,975,"Piso","Sants-Montjuïc"
"517","Les Corts",75,4,1,800,"Piso","Les Corts"
"518","Camp d´en Grassot - Gràcia N.",65,3,1,800,"Piso","Gràcia"
"519","Gòtic",128,3,2,1100,"Piso","Ciutat Vella"
"520","Guinardó",70,3,1,900,"Piso","Horta-Guinardó"
"521","Sagrada Família",65,2,1,850,"Piso","Eixample"
"523","Dreta de l´Eixample",50,2,1,900,"Piso","Eixample"
"524","Sagrada Família",80,3,1,950,"Piso","Eixample"
"525","Sant Ramon - Maternitat",100,2,1,1500,"Piso","Les Corts"
"526","Esquerra Alta de l´Eixample",98,4,1,1100,"Piso","Eixample"
"527","Gòtic",122,3,2,2400,"Piso","Ciutat Vella"
"528","Raval",80,3,2,875,"Piso","Ciutat Vella"
"529","Sagrada Família",80,4,1,990,"Piso","Eixample"
"530","Sant Antoni",80,3,2,1200,"Piso","Eixample"
"531","La Bordeta",150,4,2,2100,"Piso","Sants-Montjuïc"
"532","La Sagrera",50,2,1,800,"Piso","Sant Andreu"
"533","Esquerra Alta de l´Eixample",68,2,1,890,"Piso","Eixample"
"534","Dreta de l´Eixample",87,2,2,1360,"Piso","Eixample"
"535","Esquerra Baixa de l´Eixample",120,4,2,1400,"Piso","Eixample"
"536","Sant Gervasi - Galvany",260,4,4,5400,"Ático","Sarrià-Sant Gervasi"
"537","Fort Pienc",130,4,2,1295,"Piso","Eixample"
"538","Les Corts",110,3,2,1750,"Piso","Les Corts"
"539","Dreta de l´Eixample",100,2,2,1155,"Piso","Eixample"
"540","Esquerra Baixa de l´Eixample",89,3,2,1260,"Piso","Eixample"
"541","Sant Gervasi - Galvany",140,4,2,2200,"Piso","Sarrià-Sant Gervasi"
"542","Sant Gervasi - Galvany",260,4,4,5400,"Ático","Sarrià-Sant Gervasi"
"543","Sant Gervasi - Galvany",280,4,4,4900,"Piso","Sarrià-Sant Gervasi"
"544","Camp d´en Grassot - Gràcia N.",65,3,1,800,"Piso","Gràcia"
"545","Raval",80,3,2,1200,"Piso","Ciutat Vella"
"547","Raval",80,3,2,800,"Piso","Ciutat Vella"
"550","Poble Sec",66,3,1,850,"Piso","Sants-Montjuïc"
"551","Gòtic",78,2,1,1100,"Piso","Ciutat Vella"
"552","Dreta de l´Eixample",72,3,1,950,"Piso","Eixample"
"553","Sarrià",200,4,4,3900,"Piso","Sarrià-Sant Gervasi"
"554","Vila de Gràcia",82,2,1,1100,"Piso","Gràcia"
"555","Camp d´en Grassot - Gràcia N.",70,3,1,890,"Piso","Gràcia"
"556","Sant Ramon - Maternitat",70,3,2,1000,"Piso","Les Corts"
"557","Dreta de l´Eixample",200,4,2,2980,"Piso","Eixample"
"559","Sagrada Família",90,4,2,1000,"Piso","Eixample"
"560","Les Corts",92,3,1,1200,"Piso","Les Corts"
"561","Putget - Farró",100,3,2,1300,"Piso","Sarrià-Sant Gervasi"
"562","Esquerra Alta de l´Eixample",136,3,3,2200,"Piso","Eixample"
"564","Navas",71,3,1,1000,"Piso","Sant Andreu"
"567","Dreta de l´Eixample",147,3,2,1800,"Piso","Eixample"
"568","Sant Ramon - Maternitat",107,3,1,1200,"Piso","Les Corts"
