"","Barri","Metres_Quadrats","Num_Habitacions","Num_Lavabos","Preu","Tipus_Immoble","Districte"
"2882","Sarrià",68,2,1,1300,"Piso","Sarrià-Sant Gervasi"
"2883","La Marina-Montjuïc",90,3,2,1000,"Piso","Sants-Montjuïc"
"2884","La Salut",39,2,1,690,"Piso","Gràcia"
"2885","Gòtic",115,2,2,1100,"Piso","Ciutat Vella"
"2886","Sagrada Família",75,3,1,950,"Piso","Eixample"
"2887","Dreta de l´Eixample",135,3,2,1500,"Piso","Eixample"
"2889","Font de la Guatlla",81,3,1,1800,"Piso","Sants-Montjuïc"
"2890","Les Corts",80,3,1,1300,"Piso","Les Corts"
"2891","Camp d´en Grassot - Gràcia N.",80,3,1,890,"Piso","Gràcia"
"2892","Gòtic",110,4,2,1300,"Piso","Ciutat Vella"
"2893","Raval",60,3,1,786,"Piso","Ciutat Vella"
"2895","Esquerra Alta de l´Eixample",80,3,2,1160,"Piso","Eixample"
"2896","Esquerra Alta de l´Eixample",50,2,1,850,"Piso","Eixample"
"2898","Vallvidrera - Tibidabo - Les Planes",268,3,3,7500,"Casa","Sarrià-Sant Gervasi"
"2899","Pedralbes",180,3,2,2200,"Ático","Les Corts"
"2900","Guinardó",72,3,1,860,"Piso","Horta-Guinardó"
"2901","Baix Guinardó",80,3,1,900,"Piso","Horta-Guinardó"
"2902","Dreta de l´Eixample",90,2,2,1800,"Apartamento","Eixample"
"2903","Sant Gervasi - Galvany",50,2,1,1950,"Piso","Sarrià-Sant Gervasi"
"2904","Dreta de l´Eixample",70,2,1,1400,"Piso","Eixample"
"2905","Dreta de l´Eixample",70,2,1,1700,"Piso","Eixample"
"2908","Badal",107,4,2,1025,"Piso","Sants-Montjuïc"
"2909","Les Corts",124,4,2,1975,"Dúplex","Les Corts"
"2910","Putget - Farró",285,4,4,2900,"Casa","Sarrià-Sant Gervasi"
"2911","Gòtic",105,3,2,1100,"Piso","Ciutat Vella"
"2912","Esquerra Alta de l´Eixample",75,3,1,1000,"Piso","Eixample"
"2913","Dreta de l´Eixample",86,2,2,2000,"Piso","Eixample"
"2914","Esquerra Baixa de l´Eixample",90,3,2,1200,"Piso","Eixample"
"2916","Sarrià",114,3,2,2150,"Ático","Sarrià-Sant Gervasi"
"2917","Dreta de l´Eixample",142,4,3,1550,"Piso","Eixample"
"2918","Sant Ramon - Maternitat",81,5,1,995,"Piso","Les Corts"
"2919","Camp de l´Arpa",78,3,2,1050,"Piso","Sant Martí"
"2920","Dreta de l´Eixample",70,2,1,2500,"Apartamento","Eixample"
"2922","Sagrada Família",121,4,2,1328,"Piso","Eixample"
"2923","Besòs - Maresme",112,3,2,1695,"Piso","Sant Martí"
"2924","Esquerra Alta de l´Eixample",170,3,2,1800,"Piso","Eixample"
"2925","Vila de Gràcia",60,3,1,924,"Piso","Gràcia"
"2926","Vila de Gràcia",60,3,1,924,"Piso","Gràcia"
"2927","Sant Antoni",110,4,2,1700,"Piso","Eixample"
"2928","Guinardó",111,3,2,1500,"Piso","Horta-Guinardó"
"2929","Esquerra Alta de l´Eixample",40,2,1,750,"Piso","Eixample"
"2930","Sant Gervasi - Bonanova",650,6,5,6000,"Casa","Sarrià-Sant Gervasi"
"2931","Sarrià",80,3,1,1450,"Ático","Sarrià-Sant Gervasi"
"2932","Vila de Gràcia",53,2,1,750,"Piso","Gràcia"
"2933","Putget - Farró",90,3,2,1400,"Piso","Sarrià-Sant Gervasi"
"2934","Sant Antoni",67,2,1,900,"Piso","Eixample"
"2935","Dreta de l´Eixample",90,3,2,1400,"Piso","Eixample"
"2936","Sant Antoni",100,2,2,1800,"Apartamento","Eixample"
"2937","Putget - Farró",77,3,1,850,"Piso","Sarrià-Sant Gervasi"
"2938","Sant Gervasi - Galvany",55,2,2,2100,"Piso","Sarrià-Sant Gervasi"
"2939","Putget - Farró",130,3,2,2400,"Piso","Sarrià-Sant Gervasi"
"2940","Les Corts",110,4,2,1200,"Piso","Les Corts"
"2941","Sarrià",60,2,1,980,"Piso","Sarrià-Sant Gervasi"
"2942","Raval",61,2,1,850,"Piso","Ciutat Vella"
"2944","Esquerra Baixa de l´Eixample",58,2,1,790,"Piso","Eixample"
"2946","Sagrada Família",75,2,1,990,"Apartamento","Eixample"
"2947","Sant Gervasi - Galvany",120,3,2,2500,"Piso","Sarrià-Sant Gervasi"
"2948","Sarrià",110,3,2,1650,"Piso","Sarrià-Sant Gervasi"
"2949","Esquerra Baixa de l´Eixample",118,4,3,1400,"Piso","Eixample"
"2950","Sant Antoni",64,3,1,975,"Piso","Eixample"
"2951","Fort Pienc",50,2,1,1200,"Ático","Eixample"
"2952","Sagrada Família",49,2,1,950,"Piso","Eixample"
"2953","Raval",64,2,1,850,"Piso","Ciutat Vella"
"2954","St. Pere - Sta. Caterina - El Born",100,3,2,1350,"Ático","Ciutat Vella"
"2955","Dreta de l´Eixample",95,3,2,1200,"Piso","Eixample"
"2956","Esquerra Alta de l´Eixample",120,3,2,1400,"Piso","Eixample"
"2957","Sant Gervasi - Galvany",128,4,2,1900,"Piso","Sarrià-Sant Gervasi"
"2958","St. Pere - Sta. Caterina - El Born",100,3,2,1350,"Ático","Ciutat Vella"
"2959","Dreta de l´Eixample",95,3,2,1200,"Piso","Eixample"
"2960","Camp de l´Arpa",63,3,1,900,"Piso","Sant Martí"
"2961","Poblenou",70,3,1,1000,"Piso","Sant Martí"
"2963","Sant Gervasi - Bonanova",84,4,1,1100,"Piso","Sarrià-Sant Gervasi"
"2964","Poblenou",89,2,2,1650,"Piso","Sant Martí"
"2967","Provençals del Poblenou",90,3,1,1250,"Piso","Sant Martí"
"2968","Tres Torres",135,3,2,1800,"Piso","Sarrià-Sant Gervasi"
"2970","Dreta de l´Eixample",157,6,3,1850,"Piso","Eixample"
"2971","Dreta de l´Eixample",157,6,3,1850,"Piso","Eixample"
"2972","Poblenou",95,3,2,1350,"Piso","Sant Martí"
"2973","Dreta de l´Eixample",180,3,4,3500,"Piso","Eixample"
"2974","Esquerra Baixa de l´Eixample",118,3,2,1700,"Piso","Eixample"
"2975","Poblenou",90,2,1,1900,"Casa","Sant Martí"
"2976","Sagrada Família",115,3,2,1150,"Piso","Eixample"
"2977","Sant Gervasi - Galvany",190,4,3,2700,"Piso","Sarrià-Sant Gervasi"
"2978","Dreta de l´Eixample",122,3,2,1400,"Piso","Eixample"
"2979","Sants",86,2,1,1070,"Piso","Sants-Montjuïc"
"2980","Fort Pienc",80,3,2,1050,"Piso","Eixample"
"2983","Esquerra Alta de l´Eixample",80,3,1,950,"Piso","Eixample"
"2984","Gòtic",75,2,1,1200,"Piso","Ciutat Vella"
"2985","Sant Gervasi - Galvany",146,4,1,1950,"Piso","Sarrià-Sant Gervasi"
"2986","Esquerra Alta de l´Eixample",80,2,1,1650,"Piso","Eixample"
"2988","Horta",73,3,2,900,"Piso","Horta-Guinardó"
"2990","Sant Gervasi - Galvany",160,4,2,1800,"Piso","Sarrià-Sant Gervasi"
"2991","Vila de Gràcia",110,4,2,1400,"Piso","Gràcia"
"2995","Esquerra Alta de l´Eixample",100,4,2,1300,"Piso","Eixample"
"2996","Porta",70,3,1,900,"Piso","Nou Barris"
"2997","Poblenou",94,3,2,1290,"Piso","Sant Martí"
"2998","Raval",52,2,1,1100,"Piso","Ciutat Vella"
"2999","Poblenou",54,2,1,800,"Piso","Sant Martí"
"3001","Putget - Farró",87,3,2,1100,"Piso","Sarrià-Sant Gervasi"
"3002","Raval",49,2,1,680,"Piso","Ciutat Vella"
"3004","Poble Sec",80,4,2,1100,"Piso","Sants-Montjuïc"
"3005","Tres Torres",82,2,3,1650,"Piso","Sarrià-Sant Gervasi"
"3006","Esquerra Alta de l´Eixample",120,2,2,2950,"Ático","Eixample"
"3007","Hostafrancs",115,3,2,1100,"Piso","Sants-Montjuïc"
"3008","Sant Gervasi - Galvany",200,3,3,5200,"Piso","Sarrià-Sant Gervasi"
"3009","Dreta de l´Eixample",120,4,2,1800,"Piso","Eixample"
"3011","Sarrià",85,2,1,1375,"Apartamento","Sarrià-Sant Gervasi"
"3013","Putget - Farró",50,2,1,875,"Piso","Sarrià-Sant Gervasi"
"3014","Hostafrancs",80,2,2,1050,"Piso","Sants-Montjuïc"
"3015","Hostafrancs",80,2,2,1050,"Piso","Sants-Montjuïc"
"3016","Sant Gervasi - Galvany",102,4,2,2100,"Piso","Sarrià-Sant Gervasi"
"3017","Putget - Farró",73,2,1,1350,"Apartamento","Sarrià-Sant Gervasi"
"3018","Esquerra Baixa de l´Eixample",100,2,3,1800,"Dúplex","Eixample"
"3019","Putget - Farró",93,4,2,1000,"Piso","Sarrià-Sant Gervasi"
"3020","Poble Sec",58,2,1,795,"Piso","Sants-Montjuïc"
"3021","Vila de Gràcia",200,4,2,3800,"Piso","Gràcia"
"3022","Pedralbes",175,4,3,2700,"Piso","Les Corts"
"3023","Esquerra Baixa de l´Eixample",82,2,2,1100,"Piso","Eixample"
"3024","La Salut",77,3,1,1100,"Piso","Gràcia"
"3026","Sant Andreu",80,2,1,1150,"Ático","Sant Andreu"
"3027","Putget - Farró",100,3,2,1000,"Piso","Sarrià-Sant Gervasi"
"3032","Gòtic",95,2,2,1450,"Piso","Ciutat Vella"
"3033","Esquerra Alta de l´Eixample",95,4,2,1850,"Piso","Eixample"
"3034","Vila de Gràcia",65,3,1,990,"Piso","Gràcia"
"3035","Dreta de l´Eixample",155,2,1,2700,"Piso","Eixample"
"3040","Raval",120,4,2,1600,"Piso","Ciutat Vella"
"3041","Gòtic",60,2,1,975,"Piso","Ciutat Vella"
"3042","Tres Torres",143,3,3,2100,"Piso","Sarrià-Sant Gervasi"
"3043","Les Corts",80,2,1,900,"Apartamento","Les Corts"
"3044","Dreta de l´Eixample",56,2,1,2500,"Apartamento","Eixample"
"3045","Sant Gervasi - Bonanova",85,2,2,1100,"Piso","Sarrià-Sant Gervasi"
"3046","Sant Gervasi - Galvany",175,5,4,1850,"Piso","Sarrià-Sant Gervasi"
"3047","Gòtic",57,2,1,1200,"Piso","Ciutat Vella"
"3048","Esquerra Alta de l´Eixample",78,3,1,1100,"Piso","Eixample"
"3049","Sagrada Família",113,4,2,1500,"Piso","Eixample"
"3050","Sarrià",176,4,3,2600,"Piso","Sarrià-Sant Gervasi"
"3051","Fort Pienc",90,3,2,1150,"Piso","Eixample"
"3052","Esquerra Baixa de l´Eixample",53,2,1,850,"Piso","Eixample"
"3053","Les Corts",80,2,1,900,"Apartamento","Les Corts"
"3054","Dreta de l´Eixample",56,2,1,2500,"Apartamento","Eixample"
"3055","Dreta de l´Eixample",150,4,2,1600,"Piso","Eixample"
"3056","Poblenou",55,3,1,800,"Piso","Sant Martí"
"3057","Poble Sec",54,2,1,740,"Piso","Sants-Montjuïc"
"3058","St. Pere - Sta. Caterina - El Born",77,2,2,1625,"Piso","Ciutat Vella"
"3059","Putget - Farró",100,2,1,1300,"Piso","Sarrià-Sant Gervasi"
"3060","Sagrada Família",77,4,2,1100,"Piso","Eixample"
"3061","Guinardó",90,2,2,950,"Dúplex","Horta-Guinardó"
"3062","Sants",65,2,1,900,"Piso","Sants-Montjuïc"
"3063","Esquerra Alta de l´Eixample",65,2,1,1200,"Piso","Eixample"
"3064","Sant Gervasi - Galvany",51,2,1,960,"Piso","Sarrià-Sant Gervasi"
"3065","Dreta de l´Eixample",45,2,1,850,"Piso","Eixample"
"3066","Tres Torres",90,3,1,1190,"Piso","Sarrià-Sant Gervasi"
"3067","Esquerra Alta de l´Eixample",73,4,1,950,"Piso","Eixample"
"3068","Sant Antoni",130,3,2,1250,"Piso","Eixample"
"3069","Sarrià",150,3,2,2800,"Ático","Sarrià-Sant Gervasi"
"3070","Sant Gervasi - Galvany",156,4,3,2900,"Ático","Sarrià-Sant Gervasi"
"3072","Sant Antoni",50,3,1,850,"Piso","Eixample"
"3073","Camp de l´Arpa",75,3,1,875,"Piso","Sant Martí"
"3074","Glòries El Parc",85,2,1,1150,"Piso","Sant Martí"
"3075","Poble Sec",105,3,2,1150,"Piso","Sants-Montjuïc"
"3076","Dreta de l´Eixample",110,2,2,3000,"Ático","Eixample"
"3077","Poble Sec",105,3,2,1150,"Piso","Sants-Montjuïc"
"3078","Vila de Gràcia",70,2,1,830,"Piso","Gràcia"
"3079","Sagrada Família",66,2,2,1325,"Piso","Eixample"
"3081","Esquerra Alta de l´Eixample",165,4,2,1850,"Piso","Eixample"
"3082","Fort Pienc",77,3,1,1100,"Piso","Eixample"
"3083","Esquerra Alta de l´Eixample",90,2,2,950,"Piso","Eixample"
"3084","Putget - Farró",152,5,3,1800,"Piso","Sarrià-Sant Gervasi"
"3085","Dreta de l´Eixample",85,2,2,1250,"Piso","Eixample"
"3087","Gòtic",85,2,2,990,"Piso","Ciutat Vella"
"3088","Vila de Gràcia",90,2,2,1300,"Piso","Gràcia"
"3089","Esquerra Baixa de l´Eixample",50,2,1,900,"Ático","Eixample"
"3090","Sarrià",273,3,3,2350,"Piso","Sarrià-Sant Gervasi"
"3093","Esquerra Alta de l´Eixample",95,4,2,1200,"Piso","Eixample"
"3095","Gòtic",73,2,1,1600,"Ático","Ciutat Vella"
"3096","Dreta de l´Eixample",100,2,2,1400,"Apartamento","Eixample"
"3097","Vallvidrera - Tibidabo - Les Planes",724,5,7,8400,"Casa","Sarrià-Sant Gervasi"
"3098","Putget - Farró",90,4,2,1200,"Piso","Sarrià-Sant Gervasi"
"3099","Sant Antoni",40,2,1,790,"Piso","Eixample"
"3101","Esquerra Baixa de l´Eixample",60,2,1,975,"Piso","Eixample"
"3103","Sant Ramon - Maternitat",100,4,1,1000,"Piso","Les Corts"
"3106","Dreta de l´Eixample",208,3,2,1900,"Piso","Eixample"
"3107","Camp de l´Arpa",70,2,2,950,"Piso","Sant Martí"
"3108","Camp d´en Grassot - Gràcia N.",78,2,1,1300,"Piso","Gràcia"
"3111","Putget - Farró",110,3,2,1800,"Piso","Sarrià-Sant Gervasi"
"3112","Sant Gervasi - Galvany",130,3,2,1400,"Piso","Sarrià-Sant Gervasi"
"3113","Poble Sec",64,3,1,850,"Piso","Sants-Montjuïc"
"3114","Sant Gervasi - Bonanova",88,3,2,1325,"Piso","Sarrià-Sant Gervasi"
"3115","St. Pere - Sta. Caterina - El Born",72,3,1,850,"Piso","Ciutat Vella"
"3116","Sants",80,3,2,1033,"Piso","Sants-Montjuïc"
"3118","Sants",85,3,2,900,"Piso","Sants-Montjuïc"
"3120","La Sagrera",78,3,2,850,"Piso","Sant Andreu"
"3121","Barceloneta",35,2,1,790,"Piso","Ciutat Vella"
"3122","Diagonal Mar - La Mar Bella",200,4,2,4400,"Piso","Sant Martí"
"3123","Esquerra Baixa de l´Eixample",91,3,2,1900,"Ático","Eixample"
"3125","Sant Gervasi - Galvany",150,3,3,1600,"Piso","Sarrià-Sant Gervasi"
"3126","Putget - Farró",60,2,1,1000,"Piso","Sarrià-Sant Gervasi"
"3127","Sagrada Família",60,2,1,1000,"Apartamento","Eixample"
"3128","Fort Pienc",80,2,1,1000,"Apartamento","Eixample"
"3130","Provençals del Poblenou",100,3,1,1150,"Piso","Sant Martí"
"3131","Les Corts",85,3,1,1175,"Piso","Les Corts"
"3132","Camp d´en Grassot - Gràcia N.",110,4,2,1250,"Piso","Gràcia"
"3133","Les Corts",68,2,1,1000,"Piso","Les Corts"
"3134","Sants",95,3,2,1140,"Piso","Sants-Montjuïc"
"3135","Camp de l´Arpa",72,3,1,1200,"Piso","Sant Martí"
"3138","Vila de Gràcia",64,4,1,1000,"Planta","Gràcia"
"3140","Sant Ramon - Maternitat",100,4,2,1100,"Piso","Les Corts"
"3141","Porta",60,3,1,770,"Piso","Nou Barris"
"3142","St. Pere - Sta. Caterina - El Born",134,4,3,2450,"Piso","Ciutat Vella"
"3143","Sants",53,2,1,725,"Piso","Sants-Montjuïc"
"3144","Dreta de l´Eixample",135,2,2,1500,"Piso","Eixample"
"3145","Vallcarca - Penitents",64,2,1,895,"Piso","Gràcia"
"3146","Diagonal Mar - La Mar Bella",75,2,1,1370,"Piso","Sant Martí"
"3147","Putget - Farró",63,2,1,1200,"Piso","Sarrià-Sant Gervasi"
"3148","Font de la Guatlla",81,3,2,1300,"Piso","Sants-Montjuïc"
"3149","Sants",129,4,1,1400,"Piso","Sants-Montjuïc"
"3150","Sant Antoni",55,2,1,895,"Piso","Eixample"
"3151","Raval",48,2,1,650,"Apartamento","Ciutat Vella"
"3152","Dreta de l´Eixample",77,3,2,1100,"Piso","Eixample"
"3153","Sant Ramon - Maternitat",125,4,3,1350,"Piso","Les Corts"
"3155","Camp d´en Grassot - Gràcia N.",85,3,2,1140,"Piso","Gràcia"
"3156","Vila de Gràcia",90,3,2,1150,"Piso","Gràcia"
"3157","Sant Antoni",100,5,1,1200,"Piso","Eixample"
"3159","Sant Gervasi - Galvany",90,2,2,1600,"Piso","Sarrià-Sant Gervasi"
"3161","Esquerra Baixa de l´Eixample",80,2,2,1100,"Apartamento","Eixample"
"3162","Sarrià",60,2,1,1000,"Piso","Sarrià-Sant Gervasi"
"3163","La Sagrera",55,2,1,850,"Piso","Sant Andreu"
"3166","Sant Gervasi - Galvany",136,5,3,1100,"Piso","Sarrià-Sant Gervasi"
"3167","Les Corts",114,4,2,2000,"Piso","Les Corts"
"3168","St. Pere - Sta. Caterina - El Born",91,2,2,1600,"Piso","Ciutat Vella"
"3169","Esquerra Alta de l´Eixample",82,3,2,975,"Piso","Eixample"
"3170","Provençals del Poblenou",107,2,2,1300,"Piso","Sant Martí"
"3171","Raval",56,3,1,974,"Piso","Ciutat Vella"
"3172","Sant Gervasi - Galvany",106,3,2,3000,"Piso","Sarrià-Sant Gervasi"
"3173","Camp de l´Arpa",59,2,1,900,"Ático","Sant Martí"
"3174","Vallcarca - Penitents",190,4,3,2450,"Tríplex","Gràcia"
"3176","Camp de l´Arpa",65,2,1,1050,"Piso","Sant Martí"
"3177","Dreta de l´Eixample",169,2,2,2200,"Piso","Eixample"
"3178","Camp d´en Grassot - Gràcia N.",85,2,2,1100,"Piso","Gràcia"
"3179","Sant Gervasi - Galvany",117,4,2,1700,"Piso","Sarrià-Sant Gervasi"
"3180","Sant Antoni",87,3,1,1250,"Piso","Eixample"
"3181","Guinardó",55,3,1,648,"Piso","Horta-Guinardó"
"3182","Esquerra Baixa de l´Eixample",98,4,2,1500,"Piso","Eixample"
"3183","Diagonal Mar - La Mar Bella",106,2,2,2150,"Piso","Sant Martí"
"3185","Sagrada Família",95,4,2,1300,"Piso","Eixample"
"3190","Les Corts",133,3,2,1430,"Piso","Les Corts"
"3192","Sant Genís dels Agudells",250,3,3,7500,"Casa","Horta-Guinardó"
"3193","Raval",70,2,2,1325,"Apartamento","Ciutat Vella"
"3194","Esquerra Alta de l´Eixample",90,3,2,1150,"Piso","Eixample"
"3195","Les Corts",46,2,1,875,"Piso","Les Corts"
"3196","Esquerra Alta de l´Eixample",95,3,2,1200,"Piso","Eixample"
"3197","Camp d´en Grassot - Gràcia N.",82,3,1,1100,"Piso","Gràcia"
"3198","Carmel",70,2,1,850,"Apartamento","Horta-Guinardó"
"3199","Sant Antoni",100,3,2,1450,"Piso","Eixample"
"3200","Sant Antoni",75,2,2,1300,"Piso","Eixample"
"3201","Vila de Gràcia",70,2,1,1000,"Piso","Gràcia"
"3202","Sant Gervasi - Bonanova",102,2,2,2420,"Piso","Sarrià-Sant Gervasi"
"3203","Esquerra Alta de l´Eixample",130,2,2,1990,"Ático","Eixample"
"3204","Dreta de l´Eixample",116,4,2,2300,"Ático","Eixample"
"3205","Poblenou",65,2,1,1130,"Piso","Sant Martí"
"3207","Les Corts",65,3,1,900,"Piso","Les Corts"
"3209","St. Pere - Sta. Caterina - El Born",233,7,2,3500,"Piso","Ciutat Vella"
"3210","Sagrada Família",80,3,2,1140,"Piso","Eixample"
"3211","Sants",54,2,1,840,"Piso","Sants-Montjuïc"
"3212","Badal",73,3,1,899,"Piso","Sants-Montjuïc"
"3214","Sant Andreu",45,2,1,775,"Piso","Sant Andreu"
"3215","Raval",54,2,1,750,"Piso","Ciutat Vella"
"3216","St. Pere - Sta. Caterina - El Born",90,3,2,899,"Piso","Ciutat Vella"
"3217","Gòtic",85,3,1,999,"Piso","Ciutat Vella"
"3218","Raval",68,2,1,1100,"Piso","Ciutat Vella"
"3219","Gòtic",87,2,2,1700,"Piso","Ciutat Vella"
"3223","Vila de Gràcia",52,2,1,1100,"Piso","Gràcia"
"3224","Sagrada Família",57,3,1,950,"Piso","Eixample"
"3225","St. Pere - Sta. Caterina - El Born",80,3,2,1950,"Apartamento","Ciutat Vella"
"3226","St. Pere - Sta. Caterina - El Born",31,2,1,900,"Ático","Ciutat Vella"
"3227","Vila de Gràcia",90,3,1,850,"Piso","Gràcia"
"3228","Sant Gervasi - Bonanova",103,2,2,1150,"Piso","Sarrià-Sant Gervasi"
"3229","Tres Torres",85,3,2,1100,"Piso","Sarrià-Sant Gervasi"
"3230","Esquerra Alta de l´Eixample",72,3,1,1250,"Piso","Eixample"
"3231","Verdun",71,3,1,900,"Piso","Nou Barris"
"3232","Sant Gervasi - Galvany",300,4,3,3950,"Piso","Sarrià-Sant Gervasi"
"3236","Hostafrancs",95,2,1,945,"Piso","Sants-Montjuïc"
"3240","Sant Gervasi - Galvany",200,3,3,2600,"Piso","Sarrià-Sant Gervasi"
"3241","Baix Guinardó",51,2,1,745,"Piso","Horta-Guinardó"
"3242","Sants",46,2,1,690,"Piso","Sants-Montjuïc"
"3244","Esquerra Baixa de l´Eixample",111,4,1,850,"Piso","Eixample"
"3245","Sant Gervasi - Bonanova",65,2,1,925,"Apartamento","Sarrià-Sant Gervasi"
"3246","Dreta de l´Eixample",85,2,1,1750,"Apartamento","Eixample"
"3247","Sant Antoni",68,2,1,900,"Piso","Eixample"
"3248","Sant Gervasi - Bonanova",370,5,4,6000,"Casa","Sarrià-Sant Gervasi"
"3249","Sant Gervasi - Bonanova",370,5,4,6000,"Casa","Sarrià-Sant Gervasi"
"3250","Esquerra Alta de l´Eixample",94,3,2,1300,"Piso","Eixample"
"3251","Baix Guinardó",75,4,1,950,"Piso","Horta-Guinardó"
"3252","Sant Gervasi - Galvany",116,3,2,1700,"Piso","Sarrià-Sant Gervasi"
"3253","Les Corts",105,3,2,1165,"Dúplex","Les Corts"
"3254","Putget - Farró",65,2,1,1100,"Apartamento","Sarrià-Sant Gervasi"
"3256","Esquerra Baixa de l´Eixample",97,4,2,1300,"Piso","Eixample"
"3257","Esquerra Baixa de l´Eixample",120,4,2,1425,"Piso","Eixample"
"3258","Vilapicina - Torre Llobeta",85,4,2,850,"Apartamento","Nou Barris"
"3259","Gòtic",107,3,2,1250,"Piso","Ciutat Vella"
"3260","Sant Gervasi - Bonanova",50,2,1,890,"Piso","Sarrià-Sant Gervasi"
"3261","Glòries El Parc",93,3,2,1390,"Piso","Sant Martí"
"3262","Raval",62,2,2,1300,"Piso","Ciutat Vella"
"3263","La Salut",98,3,2,1200,"Piso","Gràcia"
"3264","Camp d´en Grassot - Gràcia N.",60,2,1,1100,"Apartamento","Gràcia"
"3265","Esquerra Alta de l´Eixample",65,4,1,1050,"Piso","Eixample"
"3267","Raval",70,2,1,900,"Piso","Ciutat Vella"
"3268","Sarrià",160,5,3,3500,"Piso","Sarrià-Sant Gervasi"
"3269","Dreta de l´Eixample",70,2,2,950,"Piso","Eixample"
"3270","Camp d´en Grassot - Gràcia N.",61,2,1,1300,"Piso","Gràcia"
"3272","Poblenou",62,3,1,785,"Piso","Sant Martí"
"3273","Poblenou",220,2,2,2500,"Dúplex","Sant Martí"
"3274","Les Corts",120,3,2,1650,"Piso","Les Corts"
"3276","Sant Gervasi - Galvany",140,5,3,1800,"Piso","Sarrià-Sant Gervasi"
"3277","Fort Pienc",72,2,1,1200,"Piso","Eixample"
"3278","Sant Antoni",75,3,1,1075,"Piso","Eixample"
"3279","Sant Gervasi - Galvany",150,3,3,1850,"Piso","Sarrià-Sant Gervasi"
"3281","Font de la Guatlla",81,3,1,1060,"Piso","Sants-Montjuïc"
"3282","Guinardó",90,3,2,1900,"Ático","Horta-Guinardó"
"3285","Navas",69,3,1,850,"Piso","Sant Andreu"
"3287","Carmel",75,3,1,800,"Piso","Horta-Guinardó"
"3288","Les Corts",107,3,2,1400,"Piso","Les Corts"
"3289","Poble Sec",125,4,2,1175,"Piso","Sants-Montjuïc"
"3291","Carmel",70,2,1,690,"Piso","Horta-Guinardó"
"3292","Dreta de l´Eixample",222,2,2,4500,"Piso","Eixample"
"3293","Tres Torres",82,4,2,1250,"Piso","Sarrià-Sant Gervasi"
"3294","Poble Sec",64,3,1,850,"Apartamento","Sants-Montjuïc"
"3296","Can Baró",60,2,1,725,"Piso","Horta-Guinardó"
"3297","La Marina-Montjuïc",55,2,1,800,"Piso","Sants-Montjuïc"
"3298","Gòtic",104,4,2,4300,"Ático","Ciutat Vella"
"3299","Dreta de l´Eixample",110,3,2,1300,"Piso","Eixample"
"3300","Diagonal Mar - La Mar Bella",90,3,1,850,"Piso","Sant Martí"
"3302","Sant Antoni",109,4,2,1300,"Apartamento","Eixample"
"3304","Sant Ramon - Maternitat",120,4,2,1500,"Piso","Les Corts"
"3305","Sant Gervasi - Galvany",65,2,1,780,"Piso","Sarrià-Sant Gervasi"
"3306","Esquerra Alta de l´Eixample",87,3,2,1200,"Piso","Eixample"
"3307","Gòtic",62,2,1,1090,"Apartamento","Ciutat Vella"
"3308","Sagrada Família",90,4,2,1300,"Ático","Eixample"
"3309","Sant Martí",65,3,1,925,"Piso","Sant Martí"
"3310","Sants",72,3,1,900,"Piso","Sants-Montjuïc"
"3314","Sant Gervasi - Galvany",55,2,1,990,"Piso","Sarrià-Sant Gervasi"
"3315","Baix Guinardó",57,3,1,779,"Apartamento","Horta-Guinardó"
"3316","Sant Gervasi - Galvany",78,2,1,1050,"Piso","Sarrià-Sant Gervasi"
"3317","Sant Antoni",120,4,2,1326,"Piso","Eixample"
"3318","Horta",65,3,1,825,"Piso","Horta-Guinardó"
"3321","Glòries El Parc",75,3,2,1100,"Piso","Sant Martí"
"3322","El Coll",65,2,1,850,"Apartamento","Gràcia"
"3324","Vila de Gràcia",80,3,1,1000,"Piso","Gràcia"
"3325","Tres Torres",131,3,3,2400,"Piso","Sarrià-Sant Gervasi"
"3326","Esquerra Alta de l´Eixample",110,3,2,1100,"Piso","Eixample"
"3328","Putget - Farró",70,2,2,1000,"Piso","Sarrià-Sant Gervasi"
"3329","El Clot",60,2,1,1000,"Piso","Sant Martí"
"3330","Sant Gervasi - Galvany",175,4,4,2500,"Piso","Sarrià-Sant Gervasi"
"3332","Putget - Farró",75,3,1,1100,"Ático","Sarrià-Sant Gervasi"
"3333","Esquerra Alta de l´Eixample",160,3,2,1900,"Piso","Eixample"
"3334","Sagrada Família",73,3,1,850,"Piso","Eixample"
"3335","Esquerra Alta de l´Eixample",100,3,2,1690,"Piso","Eixample"
"3336","St. Pere - Sta. Caterina - El Born",80,4,2,1050,"Piso","Ciutat Vella"
"3339","Carmel",65,2,1,725,"Piso","Horta-Guinardó"
"3340","Poble Sec",52,2,1,1000,"Piso","Sants-Montjuïc"
"3342","St. Pere - Sta. Caterina - El Born",70,2,1,900,"Piso","Ciutat Vella"
"3343","Raval",73,2,1,975,"Piso","Ciutat Vella"
"3344","Putget - Farró",90,3,2,1300,"Piso","Sarrià-Sant Gervasi"
"3345","Guinardó",83,4,2,1000,"Piso","Horta-Guinardó"
"3346","Sant Gervasi - Galvany",55,2,1,990,"Piso","Sarrià-Sant Gervasi"
"3347","Pedralbes",130,3,2,2000,"Piso","Les Corts"
"3348","Sant Andreu",68,2,1,780,"Piso","Sant Andreu"
"3350","Vallcarca - Penitents",180,4,2,2000,"Piso","Gràcia"
